"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","APPLE INC","037833100","2046251",0.06768257245244243,"-",182522573,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.060691654693069676,"-",297560715,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.059646901193854344,"-",90325019,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.039132754722831974,"-",114601308,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02766269566616817,"-",26607879,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.019964516713831048,"-",70872651,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.019674266944980253,"-",22270903,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.018298486432911057,"-",56952765,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.016397590401114586,"-",57439566,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.01590169840663443,"-",34000940,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014157825195028869,"-",33973542,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.013910368085715424,"-",9573570,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.012096374377204174,"-",20939302,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.01028922509966579,"-",52890200,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.009702399950831843,"-",11181756,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.009037741848616951,"-",9895226,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.008484360624886571,"-",5195873,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.008390673734456231,"-",5393466,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.008024756087328156,"-",29253214,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.007928534961523024,"-",28490674,"USD"
"WMT","WALMART INC","931142103","2936921",0.007747047790391198,"-",52708312,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.007537344801779393,"-",21449633,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.007378246702226446,"-",12073334,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005821218474336427,"-",80452551,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005630602069472571,"-",20310452,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.0055860134951026905,"-",11627810,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005449204694082371,"-",47043531,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.00512821484968143,"-",19710616,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.00498663689705028,"-",39961049,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.0049566151874331455,"-",48391614,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004810417742760543,"-",18894193,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004767305809475187,"-",30741511,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.004689871948279249,"-",11236288,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.004605733338375198,"-",13040821,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.004504343968774229,"-",21077107,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.0044718877968285544,"-",8708422,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.0044627286311826496,"-",5786337,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.004101939318631908,"-",16672493,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.004059825115809069,"-",4648242,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.004047592940338612,"-",24902710,"USD"
"T","AT+T INC","00206R102","2831811",0.003950643471295844,"-",87226621,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.003918646255362926,"-",7593534,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.003765853812333086,"-",19689341,"USD"
