"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","APPLE INC","037833100","2046251",0.07743567434596137,"-",181367013,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07448215191022241,"-",299087766,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.0452309139539366,"-",91728701,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.035444953523533405,"-",120876234,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.029964132734080346,"-",72405215,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.028396594458308586,"-",58472178,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.02415293414611913,"-",58361262,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.0204074350172426,"-",27116162,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.015888519745706486,"-",13927579,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014938708521971975,"-",33094066,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014826826321993919,"-",9769964,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.014266227846024665,"-",22642619,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.013625130466450084,"-",34769966,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.012632001312809686,"-",20139183,"USD"
"XOM","EXXONMOBIL HOLDINGS CORP","30233Q108","BVSRPD7",0.010037186462034269,"-",51174799,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.010020781330321468,"-",29732596,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009414130735827534,"-",20491209,"USD"
"WMT","WALMART INC","931142103","2936921",0.007664200125842528,"-",54123938,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.007105377874596439,"-",21824150,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.007079582700948268,"-",48760454,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.006964507287984752,"-",9961174,"USD"
"INTC","INTEL CORP","458140100","2463247",0.0067791612317599555,"-",58355243,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.006604203096528483,"-",5476540,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.006421251950042782,"-",9802857,"USD"
