"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","APPLE INC","037833100","2046251",0.06742916456605716,"-",187823689,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.05980442238268593,"-",92383602,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.059386418436928795,"-",304802183,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.037846572549755424,"-",116285105,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02662732663347637,"-",27088544,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.020112138526397556,"-",22776654,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.019690442337528896,"-",72605631,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.018482418438849967,"-",58037070,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.016238044937060162,"-",59139264,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.013875129418624402,"-",34984383,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.01359329820052278,"-",9791139,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.013197837950511696,"-",34703397,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.012134291824969506,"-",21474229,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.010476274546312375,"-",54616654,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.009725128209890072,"-",11436339,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.009115707974908916,"-",10186111,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.008346280532349011,"-",5506073,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.008338525821206899,"-",5312086,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.00829494934762767,"-",29919759,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.008284683110683401,"-",29266204,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.007926885741625752,"-",21960536,"USD"
"WMT","WALMART INC","931142103","2936921",0.007792774266222215,"-",53940971,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.007283344777619299,"-",12343726,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.00583102246276658,"-",82942872,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.0056411170914554,"-",48170400,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005636344191823416,"-",20765118,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.005588515134714642,"-",11878516,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.00504067230924131,"-",49524599,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.005037470363995535,"-",19969467,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.005025002789694795,"-",31429992,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.005016117391637767,"-",19317375,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004965316529097757,"-",41368092,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.004788599169767617,"-",11488133,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.004600494892657187,"-",5915977,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.004593960923140026,"-",21549340,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.004562521823258066,"-",8903345,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.004557328668312573,"-",13446754,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.004286684246413381,"-",17045671,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.004246639918683398,"-",7763482,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.004183301439290398,"-",4752417,"USD"
"T","AT+T INC","00206R102","2831811",0.004005533441676487,"-",89179555,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.003906093029637365,"-",52320851,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.00377297215604424,"-",22499105,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.003705200983701618,"-",16543347,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.0036402315134490505,"-",13798995,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.0036323867475969,"-",3900105,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.003616156887632374,"-",4426868,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.003612884899834347,"-",5469102,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.003605200231244485,"-",25460625,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.0035907314411651363,"-",6676034,"USD"
