"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07744269060683359,"-",294540668,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.06865800900458235,"-",89766015,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06321056692442176,"-",180385996,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.039445985015045995,"-",114111761,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.029238183111854766,"-",26220765,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.02549150428963572,"-",56784806,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.022589332802278466,"-",70286269,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.018274548695096114,"-",56695802,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.01705522737120835,"-",33841001,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.0168136207567732,"-",22144898,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.01527007242294117,"-",33560778,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.010975383004976637,"-",20668618,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.010508031370932152,"-",9502311,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.009376123946604968,"-",5140789,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.008981805699966676,"-",52061697,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.008804205874494255,"-",9797715,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.00777246166948039,"-",29062389,"USD"
"WMT","WALMART INC","931142103","2936921",0.007639784682602982,"-",52186941,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.007631298479188287,"-",5359234,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.007371498565451345,"-",12005218,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.00677591319254375,"-",21334635,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.006713047237530635,"-",28318627,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.006705912021687853,"-",19645478,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.006077472632494353,"-",25691500,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.006061801176660138,"-",79143377,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.00560768922082042,"-",23131392,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.005350251033505493,"-",12879200,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.005124485999265464,"-",10955548,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.005010942999332512,"-",48047154,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004875373898319671,"-",39301090,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.004872001433047558,"-",46782592,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.004807124007649591,"-",19581563,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004742656882180874,"-",18798805,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.004482186478315648,"-",11587487,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.004207385598872776,"-",21010449,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.0041684771568016215,"-",3705426,"USD"
