"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07625266490830665,"-",286726859,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06525180250226152,"-",173228801,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.04726728981555058,"-",87617129,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03894373411870883,"-",115263151,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.03163697213919569,"-",68693848,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.028710290680111567,"-",55942006,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.025249482746426893,"-",55191958,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02345495427146892,"-",25812135,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.016588698481195437,"-",33191904,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.01518441415395451,"-",21641933,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014279697406547498,"-",31821016,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.012918053008934921,"-",9352460,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.011057798783768339,"-",49322315,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009925246736192233,"-",28443603,"USD"
"WMT","WALMART INC","931142103","2936921",0.009661176474766666,"-",51739397,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.008845670361598475,"-",19842210,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.008094263815080303,"-",13279692,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.007819997482508226,"-",5240021,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.007354450061783503,"-",49837435,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.007000091694804216,"-",9613081,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.0065860833186419795,"-",19246765,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.00640757226088809,"-",20862087,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.0062513488968145335,"-",5492612,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.006090745811377653,"-",22126525,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005970278532420618,"-",78328623,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.005813336854137132,"-",27411474,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.005765788444074256,"-",11741808,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.005608617304307041,"-",46634531,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.005599259266405451,"-",12370220,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.005510996407860285,"-",14728267,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.00538520163184627,"-",9361492,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.005197871271848238,"-",29300190,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.00516206530380047,"-",45661094,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.005084188071540543,"-",26944040,"USD"
"INTC","INTEL CORP","458140100","2463247",0.004944316332329147,"-",55398671,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.004741262872402645,"-",10683217,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.004651483572747626,"-",15830992,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.004622172362347976,"-",3536966,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004536682994780041,"-",36471836,"USD"
"GEV","GE VERNOVA INC","36828A101","BP6H4Y1",0.004449597373412261,"-",3178740,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004280783557492428,"-",18358720,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.004007923923581465,"-",5506947,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.003988459603809608,"-",20007182,"USD"
"KLAC","KLA CORP","482480100","2480138",0.0038603502597858164,"-",1545565,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.0037808268907948005,"-",11023698,"USD"
