"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.08499937212534252,"-",291138357,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06959367305634177,"-",175894016,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.04914555823299344,"-",88965161,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.04016844128295482,"-",117037335,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.03578448356449045,"-",69751364,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.030901517559841378,"-",56803218,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.028539794447683196,"-",56028862,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02089656099164018,"-",26202777,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.01801894220607863,"-",33692912,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.013967730043830373,"-",21967345,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.012831663082698896,"-",9492742,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.012639629079344468,"-",32299210,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.012467643846124048,"-",13482728,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.010768910752319494,"-",50060313,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.010705933203420505,"-",19538021,"USD"
"WMT","WALMART INC","931142103","2936921",0.009325759460218278,"-",52509813,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.008791915935706916,"-",20137104,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.00878666363814187,"-",28867225,"USD"
"INTC","INTEL CORP","458140100","2463247",0.008252149820417444,"-",56277669,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.0077028295257477435,"-",5318817,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.007226030954980947,"-",47323625,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.006450721803745831,"-",9754567,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.0063439751084714505,"-",5573092,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.005988309526119106,"-",21168341,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.005978375180438931,"-",50570183,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005860753728110825,"-",22451505,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.005590555532612186,"-",10852911,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.005413127918676746,"-",14962039,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.00533239260181974,"-",79473685,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.0052071978366216515,"-",27846496,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.0051212802528338,"-",9510194,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005028829811312661,"-",46385854,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.004899613286836193,"-",27371656,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.00488085508124674,"-",20324674,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.00477426845599339,"-",11928246,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.004744405392694981,"-",12566640,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004728248324947265,"-",18650130,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004493935827288289,"-",29724736,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.0044161317926913945,"-",3592994,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.0043493025589113705,"-",10871152,"USD"
"GEV","GE VERNOVA INC","36828A101","BP6H4Y1",0.004324071521846517,"-",3229294,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.003746798999754453,"-",5594469,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.0037137545447880724,"-",16082412,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.0036554090221226376,"-",37050792,"USD"
"KLAC","KLA CORP","482480100","2480138",0.0036165520245176053,"-",1570037,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.0036158617225519134,"-",14412120,"USD"
"C","CITIGROUP INC","172967424","2297907",0.0033235638597748198,"-",20933409,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.0033081271071217395,"-",12779078,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.003295041382902537,"-",11198804,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.0032580652080446072,"-",16372227,"USD"
"SNDK","SANDISK CORP","80004C200","BSNPZV3",0.0032365958164739584,"-",1768005,"USD"
"ADI","ANALOG DEVICES INC","032654105","2032067",0.003208853680954197,"-",5852394,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.0031917161843276723,"-",50518614,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.003170416867154368,"-",8531546,"USD"
"PANW","PALO ALTO NETWORKS INC","697435105","B87ZMX0",0.0030779764300095437,"-",9685635,"USD"
"NEE","NEXTERA ENERGY INC","65339F101","2328915",0.0029734206931480104,"-",24947887,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.0028725765798991113,"-",21220122,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.002823425079066587,"-",6450375,"USD"
"T","AT+T INC","00206R102","2831811",0.002772352737981703,"-",83862070,"USD"
"BA","BOEING CO/THE","097023105","2108601",0.0026803024715131387,"-",9419624,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.002667116703530793,"-",4500470,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.002665145841396861,"-",11224310,"USD"
"TJX","TJX COMPANIES INC","872540109","2989301",0.0026525003097354906,"-",13301753,"USD"
"AXP","AMERICAN EXPRESS CO","025816109","2026082",0.0026258686599866243,"-",6414863,"USD"
"GILD","GILEAD SCIENCES INC","375558103","2369174",0.002566652756581839,"-",14861574,"USD"
"UNP","UNION PACIFIC CORP","907818108","2914734",0.002553046804794289,"-",7103985,"USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS","G7997R103","BKVD2N4",0.00253486885303107,"-",2611883,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.0024865377110563245,"-",4254947,"USD"
"CRWD","CROWDSTRIKE HOLDINGS INC   A","22788C105","BJJP138",0.002469550280074516,"-",3025000,"USD"
"WDC","WESTERN DIGITAL CORP","958102105","2954699",0.00244868115108273,"-",4059443,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.002448421037298556,"-",20829776,"USD"
"COP","CONOCOPHILLIPS","20825C104","2685717",0.0024296728360854174,"-",14674536,"USD"
"SCHW","SCHWAB (CHARLES) CORP","808513105","2779397",0.0024296028054512165,"-",19996529,"USD"
"UBER","UBER TECHNOLOGIES INC","90353T100","BK6N347",0.0024170773263056194,"-",24651331,"USD"
"WELL","WELLTOWER INC","95040Q104","BYVYHH4",0.0024128754882535818,"-",8363480,"USD"
"BLK","BLACKROCK INC","09290D101","BMZBBT7",0.002370106779509629,"-",1728192,"USD"
"APH","AMPHENOL CORP CL A","032095101","2145084",0.0023241466747213903,"-",14733192,"USD"
"ANET","ARISTA NETWORKS INC","040413205","BL9XPM3",0.002317223646311843,"-",12367328,"USD"
"PFE","PFIZER INC","717081103","2684703",0.0023114211080495052,"-",68066146,"USD"
"ETN","EATON CORP PLC","G29183103","B8KQN82",0.0022884510600317005,"-",4649937,"USD"
"DE","DEERE + CO","244199105","2261203",0.0022335670515710396,"-",3024259,"USD"
"HON","HONEYWELL INTERNATIONAL INC","438516106","2020459",0.0021851758833384078,"-",7603868,"USD"
"GLW","CORNING INC","219350105","2224701",0.0021745312269399126,"-",9345041,"USD"
"PLD","PROLOGIS INC","74340W103","B44WZD7",0.002098447945069091,"-",11132058,"USD"
"APP","APPLOVIN CORP CLASS A","03831W108","BMV3LG4",0.0020519776170888197,"-",3251274,"USD"
"SPGI","S+P GLOBAL INC","78409V104","BYV2325",0.0019903806721212128,"-",3664699,"USD"
"BKNG","BOOKING HOLDINGS INC","09857L108","BDRXDB4",0.0019771648910099234,"-",9667450,"USD"
"MO","ALTRIA GROUP INC","02209S103","2692632",0.0019676707378875817,"-",20092293,"USD"
"VRT","VERTIV HOLDINGS CO A","92537N108","BL3LWS8",0.0019577964184652936,"-",4585345,"USD"
"LOW","LOWE S COS INC","548661107","2536763",0.0019449608036539504,"-",6730173,"USD"
"SBUX","STARBUCKS CORP","855244109","2842255",0.0019204400773074174,"-",13641074,"USD"
"CB","CHUBB LTD","H1467J104","B3BQMF6",0.0019030724800256625,"-",4355908,"USD"
"CVS","CVS HEALTH CORP","126650100","2577609",0.0018997410227129757,"-",15242061,"USD"
"PGR","PROGRESSIVE CORP","743315103","2705024",0.0018888362525303069,"-",7035342,"USD"
"BMY","BRISTOL MYERS SQUIBB CO","110122108","2126335",0.0018848945282624431,"-",24426087,"USD"
"NEM","NEWMONT CORP","651639106","2636607",0.0018211266336346172,"-",13094440,"USD"
"COF","CAPITAL ONE FINANCIAL CORP","14040H105","2654461",0.0018032188000318859,"-",7485385,"USD"
"INTU","INTUIT INC","461202103","2459020",0.0017628911591086407,"-",3332651,"USD"
"VRTX","VERTEX PHARMACEUTICALS INC","92532F100","2931034",0.001747164279542443,"-",3039786,"USD"
"SYK","STRYKER CORP","863667101","2853688",0.0017363895662518612,"-",4129233,"USD"
"CME","CME GROUP INC","12572Q105","2965839",0.0017279358682662145,"-",4318140,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.0017241242008904376,"-",7368785,"USD"
"PH","PARKER HANNIFIN CORP","701094104","2671501",0.0017049057939905233,"-",1511066,"USD"
"LMT","LOCKHEED MARTIN CORP","539830109","2522096",0.0016900693039163053,"-",2424975,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.0016895190632190147,"-",12537100,"USD"
"PWR","QUANTA SERVICES INC","74762E102","2150204",0.001686677820345732,"-",1784693,"USD"
"DHR","DANAHER CORP","235851102","2250870",0.001667699518477363,"-",7544075,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.0016586455579128533,"-",4915174,"USD"
"SO","SOUTHERN CO/THE","842587107","2829601",0.0016425285076703954,"-",13184027,"USD"
"EQIX","EQUINIX INC","29444U700","BVLZX12",0.0016251108885070686,"-",1177053,"USD"
"HWM","HOWMET AEROSPACE INC","443201108","BKLJ8V2",0.0016078833524937148,"-",4799959,"USD"
