"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","APPLE INC","037833100","2046251",0.07118252266039943,"-",182964202,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.06568616621334929,"-",89447977,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.061225476906927964,"-",296032633,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03730670005528705,"-",112408886,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.025341830404989572,"-",26290634,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.019579173230254262,"-",70506391,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.0171452003396025,"-",22043332,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.01675820294918405,"-",56016071,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.01618420553097544,"-",57800004,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.015015941635163675,"-",9493019,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.014526910677546976,"-",33389047,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.01239603603431783,"-",34238424,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.010936693682702756,"-",11112212,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.010708008419080995,"-",53464215,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009382509688999414,"-",20101693,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.008397325673171672,"-",28328194,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.008280249910320385,"-",9928307,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.008229667036211252,"-",5334863,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.008180720050754044,"-",11932778,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.008068671653028176,"-",28968575,"USD"
"WMT","WALMART INC","931142103","2936921",0.007214947250271672,"-",52269322,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.007038141601763615,"-",21255937,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.006382589149298201,"-",5164514,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.006000289951288622,"-",30503620,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005697141829211988,"-",46677863,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005483807984098204,"-",81238399,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.005456935520511141,"-",19234918,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.005396018618088648,"-",11660793,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.005276239648989367,"-",19476666,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005164111451817064,"-",20468077,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.004812844263539986,"-",4596867,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.004805891736769316,"-",16529320,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.004784655109086741,"-",5335654,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.004744685561353495,"-",5784692,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.004435303107524108,"-",8632505,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.004380331263861039,"-",7537714,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.004356920101263103,"-",48481994,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.004234547650154678,"-",13048409,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.004191266425394371,"-",11085055,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.004060515032410246,"-",20937440,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.0039174545748134875,"-",2478828,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.0038805074311139753,"-",18710089,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.0038710711465730096,"-",50656846,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.003853415519049215,"-",5835296,"USD"
