"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"MSFT","MICROSOFT CORP","594918104","2588173",0.07288553508746691,"-",87517515,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.0674275417478083,"-",289624972,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06665909375256028,"-",169713408,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03845075331130906,"-",107825840,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.024385677677992944,"-",25802493,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.023423531959600733,"-",69161372,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.019644870553283653,"-",57538103,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.016106870240427226,"-",21315607,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.015587061825845882,"-",9389878,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.0150388499968111,"-",5128818,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.012295028300442103,"-",33811321,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.01180717372712088,"-",32644981,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.011130169168362885,"-",52818187,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.009661339646843235,"-",10836816,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009340115778819779,"-",18534539,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.008570530849144909,"-",27788699,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.008251401334013034,"-",5228460,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.008054382565569328,"-",9666615,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.007665820265527047,"-",28347800,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.007346371610906932,"-",11668670,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.007227143092721939,"-",29839158,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006553260117083303,"-",20788646,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.006333004004652057,"-",5073693,"USD"
"WMT","WALMART INC","931142103","2936921",0.006326192371199916,"-",50295746,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005796600336682188,"-",20180593,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005754354246926301,"-",80108375,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.005520654383552907,"-",19025912,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005385409052301826,"-",45650501,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.005136330654838825,"-",5274993,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.0051087649815420196,"-",11407422,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.00497230293099202,"-",16190621,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.0047842799068731024,"-",13163439,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.00478316291866426,"-",18787040,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.004620232236808282,"-",4494106,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.004570416557315682,"-",5659927,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004310258035745318,"-",41048525,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.0041923958334943575,"-",9803958,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.0041468685908749945,"-",7391071,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.004114864884069838,"-",47675880,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.004039647695935066,"-",21464629,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.004029455178529372,"-",8485130,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.003948204259445046,"-",20438663,"USD"
"INTU","INTUIT INC","461202103","2459020",0.003874183844391176,"-",3299586,"USD"
"GE","GENERAL ELECTRIC CO","369604301","BL59CR9",0.0038131982828101454,"-",12887880,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.003803993103196197,"-",10695539,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.0037404843450362614,"-",49508267,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.0036317774568542112,"-",6303330,"USD"
"DHR","DANAHER CORP","235851102","2250870",0.0036180744050778686,"-",7746236,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.0034651766708834633,"-",5758146,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.003433143044751285,"-",18281337,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.003413466100679433,"-",10783030,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.0034109728234275514,"-",13008761,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.003404101351321365,"-",4176153,"USD"
"PFE","PFIZER INC","717081103","2684703",0.003358304834758798,"-",66496475,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.00335434551048281,"-",2415651,"USD"
"NEE","NEXTERA ENERGY INC","65339F101","2328915",0.0032651360504104762,"-",24161774,"USD"
"CMCSA","COMCAST CORP CLASS A","20030N101","2044545",0.003244272306366728,"-",46086379,"USD"
"UBER","UBER TECHNOLOGIES INC","90353T100","BK6N347",0.0032104534937222023,"-",24602121,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.0031877447245120616,"-",3796624,"USD"
"SPGI","S+P GLOBAL INC","78409V104","BYV2325",0.0031124377783962216,"-",3768943,"USD"
"HON","HONEYWELL INTERNATIONAL INC","438516106","2020459",0.003013953326946887,"-",7667015,"USD"
"LRCX","LAM RESEARCH CORP","512807108","2502247",0.0030040400565934044,"-",1544848,"USD"
"UNP","UNION PACIFIC CORP","907818108","2914734",0.002956468326627498,"-",7178402,"USD"
"BKNG","BOOKING HOLDINGS INC","09857L108","BDRXDB4",0.002929600770961219,"-",399403,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.0029161271006920494,"-",15635610,"USD"
"T","AT+T INC","00206R102","2831811",0.002909475036984028,"-",84202864,"USD"
"COP","CONOCOPHILLIPS","20825C104","2685717",0.0028815004662179136,"-",13770428,"USD"
"AXP","AMERICAN EXPRESS CO","025816109","2026082",0.002842705072178631,"-",6690647,"USD"
"INTC","INTEL CORP","458140100","2463247",0.002802912367238596,"-",49829520,"USD"
"-","US DOLLAR","999USDZ92","-",0.0027533659616892,"-",1494894070.19,"USD"
"ETN","EATON CORP PLC","G29183103","B8KQN82",0.0027312456059105034,"-",4703530,"USD"
"TJX","TJX COMPANIES INC","872540109","2989301",0.002714869760920143,"-",13334452,"USD"
"LOW","LOWE S COS INC","548661107","2536763",0.002714660325630985,"-",6736807,"USD"
"ELV","ELEVANCE HEALTH INC","036752103","BSPHGL4",0.002693208168155793,"-",2736616,"USD"
"VRTX","VERTEX PHARMACEUTICALS INC","92532F100","2931034",0.0026491669187785516,"-",3034430,"USD"
"PGR","PROGRESSIVE CORP","743315103","2705024",0.002641497597951763,"-",6888682,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.002634297013248328,"-",14761527,"USD"
"C","CITIGROUP INC","172967424","2297907",0.002529948373702567,"-",22426006,"USD"
"SYK","STRYKER CORP","863667101","2853688",0.002497565688755125,"-",3982297,"USD"
"NKE","NIKE INC  CL B","654106103","2640147",0.0024711967885392224,"-",14264229,"USD"
"REGN","REGENERON PHARMACEUTICALS","75886F107","2730190",0.002451489925140348,"-",1244895,"USD"
"ADI","ANALOG DEVICES INC","032654105","2032067",0.0024508017806188285,"-",5840142,"USD"
"BSX","BOSTON SCIENTIFIC CORP","101137107","2113434",0.0024494753571208273,"-",17249047,"USD"
"BLK","BLACKROCK INC","09247X101","2494504",0.002388330225795676,"-",1646710,"USD"
"KLAC","KLA CORP","482480100","2480138",0.0023747867437634534,"-",1585332,"USD"
"SCHW","SCHWAB (CHARLES) CORP","808513105","2779397",0.0023653222633153097,"-",17529509,"USD"
"MDT","MEDTRONIC PLC","G5960L103","BTN1Y11",0.0023099814814325392,"-",15667275,"USD"
"CB","CHUBB LTD","H1467J104","B3BQMF6",0.002287272712222399,"-",4776097,"USD"
"PANW","PALO ALTO NETWORKS INC","697435105","B87ZMX0",0.0022791845208172943,"-",3804472,"USD"
"MMC","MARSH + MCLENNAN COS","571748102","2567741",0.002252805647492384,"-",5802571,"USD"
