"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"MSFT","MICROSOFT CORP","594918104","2588173",0.06796221642400481,"-",89253808,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.06599311134464501,"-",294031521,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06018080776340708,"-",180357562,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03859592866343868,"-",113239666,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.028170465883664803,"-",26291110,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.022431967965920216,"-",56273790,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.020094795293662527,"-",70026822,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.019962105220135973,"-",33595196,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.018431821095151752,"-",22005065,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.016382045174650268,"-",56752709,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014725175580170807,"-",33567097,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.012390394711787683,"-",20688352,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.011328563889599897,"-",9458626,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.010331882202238105,"-",5134902,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.009373789618392294,"-",9776211,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.008988018673803597,"-",5328585,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.008883149582583688,"-",52253584,"USD"
"WMT","WALMART INC","931142103","2936921",0.0084301379257222,"-",52072320,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.007842464708458471,"-",28146094,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.00733397120774517,"-",28899222,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.007306520504699439,"-",11923649,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006458961284010788,"-",21189235,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005829766751786529,"-",79473800,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.005554799374139983,"-",18661322,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005504671568250058,"-",46470093,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.00548180432200161,"-",11044974,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.0053111956506477626,"-",19469882,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.005278611075687173,"-",11486308,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.0052256811564713995,"-",12881249,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.005069113074389574,"-",24601927,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.005040721661870166,"-",47800433,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.0048453042800349596,"-",39472457,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.00480814625582468,"-",11097385,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.004575270623351425,"-",20815887,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.004542295754034735,"-",20058109,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.004479428340059789,"-",8600381,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.0044000885027478875,"-",5714236,"USD"
"INTU","INTUIT INC","461202103","2459020",0.004219222095111912,"-",3359075,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.004203630335963079,"-",2472226,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.004027977860622703,"-",21694604,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.003952080619682558,"-",7512250,"USD"
"T","AT+T INC","00206R102","2831811",0.0039439144608472265,"-",86141403,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.003939461102168645,"-",4283443,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.0038496033323372155,"-",30356306,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.003793160763916538,"-",3744561,"USD"
"UBER","UBER TECHNOLOGIES INC","90353T100","BK6N347",0.0036836281555186106,"-",25068543,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.0036538557014314625,"-",19445928,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.0036311886061348607,"-",50569283,"USD"
"BKNG","BOOKING HOLDINGS INC","09857L108","BDRXDB4",0.0036200001679266487,"-",397120,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.003584933721163164,"-",5223469,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.0035841631399985557,"-",16475146,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.0035356165266282177,"-",15985290,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.003348985771579067,"-",10923433,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.0033368065861592152,"-",5734745,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.0032612496018372093,"-",13271366,"USD"
"AXP","AMERICAN EXPRESS CO","025816109","2026082",0.0032526731335505922,"-",6659738,"USD"
"PGR","PROGRESSIVE CORP","743315103","2705024",0.003245507729474492,"-",7036772,"USD"
"SPGI","S+P GLOBAL INC","78409V104","BYV2325",0.003218727532117448,"-",3779835,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.0031519871972242744,"-",14847641,"USD"
"BSX","BOSTON SCIENTIFIC CORP","101137107","2113434",0.003076980628019846,"-",17684162,"USD"
