"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","APPLE INC","037833100","2046251",0.06918969270060346,"-",173621709,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.06774732805758264,"-",89526098,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.055660933893272584,"-",296291908,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03409002922768111,"-",110271291,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.024524039822479214,"-",26409712,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.02136913785367343,"-",70788609,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.017980121568004992,"-",58891307,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.017694545311457713,"-",21817284,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014094099972134537,"-",9610607,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.013586212137077924,"-",52493739,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.013171866004631735,"-",34606622,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.012169373416326323,"-",33413317,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.011925326795069724,"-",11091798,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.011877545709380034,"-",54060245,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009242734406809724,"-",18970926,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.009184600919259277,"-",28442618,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.008756341558805059,"-",29014047,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.008453221231858004,"-",9894044,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.00820895455954736,"-",5333981,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.007766891996612134,"-",11943266,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.007577728108698499,"-",21277659,"USD"
"WMT","WALMART INC","931142103","2936921",0.006541947797308454,"-",51478495,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.006525023870788261,"-",30540592,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.006075289527923374,"-",46723972,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.006031309324076279,"-",5193245,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005808637662023967,"-",81992677,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005586686167057619,"-",20654903,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.0054067644234138765,"-",16571024,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.005323335066968887,"-",11676414,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.005266991994812716,"-",5399215,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.00513129051071139,"-",4599648,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.004861607941658544,"-",5793022,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.00475907415279419,"-",19473974,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.004597846746423637,"-",19228193,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.00456950016973438,"-",7565262,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.004443000820620392,"-",8684337,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.004368383508657843,"-",20920607,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.004181700196262535,"-",48796985,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004172618089122858,"-",42014490,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004113314330057716,"-",18711911,"USD"
"GE","GENERAL ELECTRIC CO","369604301","BL59CR9",0.004061912404296921,"-",13190963,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.00399498687690531,"-",13473060,"USD"
"DHR","DANAHER CORP","235851102","2250870",0.003965219970685399,"-",7928833,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.0039159785461825,"-",11037545,"USD"
"INTU","INTUIT INC","461202103","2459020",0.003909066942621358,"-",3377108,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.003876709435356097,"-",50673737,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.0038293384448125807,"-",6451836,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.003827337980684899,"-",10947719,"USD"
"PFE","PFIZER INC","717081103","2684703",0.003729655317330174,"-",68066271,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.0036470861604600883,"-",4274223,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.003646876111726682,"-",5893576,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.0036455858123643266,"-",2472625,"USD"
"NEE","NEXTERA ENERGY INC","65339F101","2328915",0.0036430052136396164,"-",24730418,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.003586792171651745,"-",21969456,"USD"
