"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","APPLE INC","037833100","2046251",0.06758188306777983,"-",180951189,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.06220788872585823,"-",89547337,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.05647263106846511,"-",294998939,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03682580541406914,"-",113614654,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.025452891801727027,"-",26378793,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.020693031094428223,"-",22079197,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.0196102812727246,"-",70262467,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.019099940082815927,"-",56462375,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.016716294283684614,"-",33708130,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.016102570698226716,"-",56945082,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014995627975794297,"-",9491156,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014480646229482915,"-",33681088,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.01260562141400754,"-",20758988,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.010246058502414439,"-",5151195,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.009734587177002523,"-",52434876,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.009449422985815999,"-",9809964,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.009345990584271054,"-",5347008,"USD"
"WMT","WALMART INC","931142103","2936921",0.008931490885757202,"-",52254590,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.00807045764787198,"-",28245390,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.00801623114611442,"-",11085458,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.007967365287097924,"-",29001344,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.007583589272353756,"-",11969382,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.007291784284935764,"-",21265047,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.0059469230360720245,"-",46638581,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.005641466411822778,"-",18731501,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.0055904902997869444,"-",79759953,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.005444262767105776,"-",11527774,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.005139226193220567,"-",24688220,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.00494436282910321,"-",39616975,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.004867723640064443,"-",47974916,"USD"
