"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07443389097447388,"-",282476634,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06678913303534917,"-",170660848,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.04844108354107109,"-",86318512,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03560766163019951,"-",113560537,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.029204043285477786,"-",67675634,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.02606805129063415,"-",55116608,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.023410804946076096,"-",54365678,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.021025545743407214,"-",25425607,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.01860591157957974,"-",32690740,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.015706933246119752,"-",21314224,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.013942448334762563,"-",31338384,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.013064071316532882,"-",48572050,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.012723673413289798,"-",9210381,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.010593692687408326,"-",28009209,"USD"
"WMT","WALMART INC","931142103","2936921",0.009848356544678381,"-",50947851,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009082231829965122,"-",19538188,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.00799000384907792,"-",5162879,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.0073487003441665795,"-",13083847,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.007235370705825687,"-",21784515,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.0072111506229199825,"-",49067835,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.0072092154103649145,"-",9464675,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006765253709458319,"-",20539315,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.0060625620701970214,"-",27007230,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.006025114709724202,"-",18963313,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.0059737916757250905,"-",26546673,"USD"
