"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","APPLE INC","037833100","2046251",0.07080223571497153,"-",183524226,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.06838250597740772,"-",296939350,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.06272424443118536,"-",89721893,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03527000219979058,"-",112754455,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02597038603501842,"-",26371777,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.01945931912541657,"-",70724688,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.017086340174282382,"-",56190194,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.016964560709482036,"-",22111887,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.016086998475627123,"-",57979459,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014763253997571273,"-",9522484,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.012687616830833711,"-",34345321,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.012243180135518032,"-",33493082,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.011256047304494483,"-",11147196,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.011099576302420356,"-",53632313,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009440486947094647,"-",20165317,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.00841680730969642,"-",9959853,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.00829446926925279,"-",11970802,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.008176849198081875,"-",28418001,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.007940870937925709,"-",5350784,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.007832846398341158,"-",29060298,"USD"
"WMT","WALMART INC","931142103","2936921",0.007022113750378809,"-",52435846,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006903426400746624,"-",21323638,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.006161478353428325,"-",5181047,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005697152375385814,"-",81500893,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.005690529264186909,"-",11698424,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.005668605170188123,"-",19296980,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.00559871339282257,"-",30601554,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005493990434272414,"-",46828209,"USD"
