"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07946729499077866,"-",288592151,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06575648490584858,"-",174355685,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.050570084112661694,"-",88187105,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.04081685660223867,"-",116013043,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.032613528185279274,"-",56305930,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.03231837013043591,"-",69140800,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.025878765754784604,"-",55550998,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02362002832798889,"-",25980039,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.01722071631966204,"-",33407856,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.014137502064010942,"-",21782645,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.013769203084826749,"-",32027992,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.011914496922353635,"-",9413312,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.010307142789005337,"-",49643075,"USD"
"WMT","WALMART INC","931142103","2936921",0.00948343428909596,"-",52075865,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009107701477901683,"-",28628535,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.008880904742657101,"-",13366152,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.008508494704696862,"-",19971306,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.008158266423190874,"-",19371901,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.007379101045554005,"-",5274077,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.006704538165852324,"-",9675649,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.006421972723085108,"-",50161495,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.006368918112618504,"-",5528384,"USD"
