"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07367609933810453,"-",283112619,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06646496101929955,"-",171045103,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.04892862324050602,"-",86512867,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03603532306285892,"-",113816227,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.029228233760674825,"-",67828004,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.025537030987139216,"-",55240718,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.023448927374396182,"-",54488078,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.021535592142925882,"-",25482847,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.018340396020104715,"-",32764360,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.015975910790541597,"-",21362239,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014042875339162975,"-",31408944,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.013151876785588032,"-",48681445,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.012895354985394505,"-",9231126,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.0107252685334482,"-",28072299,"USD"
"WMT","WALMART INC","931142103","2936921",0.009935873240625727,"-",51062601,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.00924171728941572,"-",19582198,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.008124859455139995,"-",5174489,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.00738323345504711,"-",9486005,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.007248464001284434,"-",21833565,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.0072036572226372615,"-",49178355,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006912313413481741,"-",20585575,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.006648669609736549,"-",13113322,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.006171944237545032,"-",27068070,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.0059097866782384925,"-",11594742,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.005870446087191198,"-",19005973,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.00576612968222857,"-",26606478,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.00575087822084132,"-",77282237,"USD"
