"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","APPLE INC","037833100","2046251",0.0657305419458234,"-",184322999,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.05825314139818798,"-",90661822,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.05824029132089705,"-",299121097,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03697033484154661,"-",114117711,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.025724071897809408,"-",26583830,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.01945225020879427,"-",22352316,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.019347199122040633,"-",71252635,"USD"
"-","BROADCOM INC COMMON STOCK","11135F101","BDZ78H9",0.018702113551291102,"-",57894330,"-"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.01845452305525503,"-",56955540,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.015988642908792986,"-",58037246,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.013600827712544882,"-",34332313,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.01332479947912275,"-",9608717,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.013308169394258754,"-",34056449,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.011866505681210119,"-",21073925,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.010248594243923324,"-",53598952,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.0093566683332798,"-",11223185,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.008878458406136231,"-",9996203,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.008287218458727826,"-",5213192,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.008093619720346272,"-",5403633,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.008021273492929734,"-",28720908,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.007928936091441189,"-",29362249,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.007578496265639915,"-",21551170,"USD"
"WMT","WALMART INC","931142103","2936921",0.00757140388029663,"-",52935877,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.007092999107401872,"-",12113630,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005692291971253198,"-",81396816,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.00553868532330322,"-",20378210,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.0054260157676780845,"-",47272474,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.005395921841406918,"-",11657088,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.004949764040333967,"-",19597137,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.004921501664123978,"-",48601457,"USD"
"-","PHILIP MORRIS INTERNATIONAL COMMON STOCK","718172109","B2PKRQ3",0.004900575230446263,"-",19340225,"-"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004893862794317795,"-",40597034,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.00484594048181282,"-",18957259,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004804603955698038,"-",30844114,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.00471232500793485,"-",11273797,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.004494409519804887,"-",13196170,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.004464374047259077,"-",21147460,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.004442989726066066,"-",8737471,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.004422189942126623,"-",5805657,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.004104834924877269,"-",16728107,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.0040957258860091755,"-",7618884,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.0040056681798095435,"-",4663767,"USD"
"T","AT+T INC","00206R102","2831811",0.0038917321268016787,"-",87517663,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.003737940375388071,"-",51346095,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.0036687603914283573,"-",22079889,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.003639864766527004,"-",16235239,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.003564196419052692,"-",24985855,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.003550664381632604,"-",13541713,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.0035418086422410564,"-",4344522,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.0035340050699059302,"-",3827215,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.0035140820918468387,"-",2512716,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.0034822637806776473,"-",19785613,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.00344913026068793,"-",5367056,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.0034272880519796247,"-",6551530,"USD"
"INTU","INTUIT INC","461202103","2459020",0.0034135416842332286,"-",3416207,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.003350323980259904,"-",11126846,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.003301359242986067,"-",5884582,"USD"
"PGR","PROGRESSIVE CORP","743315103","2705024",0.0032354526676463317,"-",7145732,"USD"
"SPGI","S+P GLOBAL INC","78409V104","BYV2325",0.0031750310002025715,"-",3869769,"USD"
"UBER","UBER TECHNOLOGIES INC","90353T100","BK6N347",0.0031048767874869124,"-",25664761,"USD"
"BKNG","BOOKING HOLDINGS INC","09857L108","BDRXDB4",0.003073000022592365,"-",403930,"USD"
"AXP","AMERICAN EXPRESS CO","025816109","2026082",0.0030415519183504334,"-",6783020,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.0030022417880480193,"-",15119676,"USD"
"PFE","PFIZER INC","717081103","2684703",0.0029992021943294686,"-",69067551,"USD"
"BSX","BOSTON SCIENTIFIC CORP","101137107","2113434",0.0029977993049209064,"-",17963023,"USD"
