"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"MSFT","MICROSOFT CORP","594918104","2588173",0.07292348325933096,"-",87689466,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06685761951485734,"-",170046858,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.06607554311907894,"-",290194021,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03925337222953281,"-",108037688,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.024666958372207295,"-",25853193,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.023594712148000054,"-",69297248,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.019782904942426446,"-",57651164,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.016000106741970017,"-",21357493,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.015705898189899908,"-",9408364,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.014973313610002056,"-",5138880,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.012390933769459642,"-",33877738,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.011858410606083178,"-",32709175,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.011166612148883589,"-",52921966,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.009699498418445794,"-",10858110,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009091675496513206,"-",18570965,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.008519483092038043,"-",27843299,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.008183251869784448,"-",5238717,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.007875012492619855,"-",9685608,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.007604926588668841,"-",28403492,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.007331918842676117,"-",11691602,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.007127639203684959,"-",29897736,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006464051979031425,"-",20829479,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.0063887422483181605,"-",5083677,"USD"
"WMT","WALMART INC","931142103","2936921",0.006281900556731571,"-",50394572,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005804523422333439,"-",20220256,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005785426741412371,"-",80265779,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.00558268281462061,"-",19063313,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005368251519662012,"-",45740201,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.005307261806600264,"-",11429886,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.005306862920314705,"-",5285367,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.004953000924239468,"-",16222406,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.004845760346367321,"-",18823934,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.004726672845814116,"-",13189296,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.0045845696065842404,"-",5671042,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.004554473636338923,"-",4502920,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004336891139724421,"-",41129177,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.004194658262451739,"-",9823185,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.004162488083521523,"-",47769558,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.004123267589494078,"-",7405618,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.0040351934976429705,"-",21506788,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.0040307060269304485,"-",8501783,"USD"
"INTU","INTUIT INC","461202103","2459020",0.0039550372985601824,"-",3306060,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.0039356115364535295,"-",20478911,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.0038066815168041916,"-",10716599,"USD"
"GE","GENERAL ELECTRIC CO","369604301","BL59CR9",0.0038060432987472993,"-",12913191,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.003718517675538835,"-",49605650,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.00363823183841324,"-",6315732,"USD"
"DHR","DANAHER CORP","235851102","2250870",0.0035845218000629163,"-",7761485,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.0034694331345224254,"-",5769456,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.0034408728764765053,"-",2420409,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.0034202703998274576,"-",4184343,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.0034165906738431893,"-",18317295,"USD"
"PFE","PFIZER INC","717081103","2684703",0.0034014529393062804,"-",66627554,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.003389815431925139,"-",10804285,"USD"
"NEE","NEXTERA ENERGY INC","65339F101","2328915",0.0032774292209693003,"-",24209315,"USD"
"CMCSA","COMCAST CORP CLASS A","20030N101","2044545",0.003246106675395894,"-",46176937,"USD"
"UBER","UBER TECHNOLOGIES INC","90353T100","BK6N347",0.003184139690934529,"-",24650442,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.0031650928707991563,"-",13034384,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.0031153716953044083,"-",3804073,"USD"
"SPGI","S+P GLOBAL INC","78409V104","BYV2325",0.0031131279599481473,"-",3776353,"USD"
"HON","HONEYWELL INTERNATIONAL INC","438516106","2020459",0.0030243259006258985,"-",7682069,"USD"
"LRCX","LAM RESEARCH CORP","512807108","2502247",0.0030012303846921164,"-",1547890,"USD"
"-","US DOLLAR","999USDZ92","-",0.002963515686392651,"-",1613768955.2,"USD"
"UNP","UNION PACIFIC CORP","907818108","2914734",0.002951658791554452,"-",7192520,"USD"
"BKNG","BOOKING HOLDINGS INC","09857L108","BDRXDB4",0.002946483241999343,"-",400183,"USD"
"T","AT+T INC","00206R102","2831811",0.0029050190126156364,"-",84368731,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.002894797551548224,"-",15666381,"USD"
"COP","CONOCOPHILLIPS","20825C104","2685717",0.0028877272921367164,"-",13797494,"USD"
