"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07783373352443297,"-",290556360,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06638092732123589,"-",175542328,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.0496705411645776,"-",88787307,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.04229559375747889,"-",116802702,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.036241441996093006,"-",69611454,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.032237190759491004,"-",56689153,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.02893158127339678,"-",55929078,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.021493497382181148,"-",26156847,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.017744252334714775,"-",33635247,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.014002688076065414,"-",21930819,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.013600966819292343,"-",32245944,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.012323955670247336,"-",9477391,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.010305548379818607,"-",49980845,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.009849371530456178,"-",13457197,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.009491964824787506,"-",19503673,"USD"
"WMT","WALMART INC","931142103","2936921",0.009313726519713576,"-",52430176,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.00890333437244005,"-",20107248,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.008839317797937849,"-",28823274,"USD"
"INTC","INTEL CORP","458140100","2463247",0.007549075290032287,"-",56138501,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.007251494728508619,"-",5309939,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.006684406488546374,"-",5566053,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.0065151191027318514,"-",9741535,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.006275844529233152,"-",50502740,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.005895705488953715,"-",21140675,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.005859141733856067,"-",47257289,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005769662544343304,"-",22421915,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.0057043358352902845,"-",79374412,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.005521607069045992,"-",27777595,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.005389183469142281,"-",10826034,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.005309885325222901,"-",27303928,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.005202004245836048,"-",11898717,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.005172031167600913,"-",14925013,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.004982421694708047,"-",9486694,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.0049080440561245645,"-",46271115,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.004848067896572978,"-",12535530,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.0047025429511610845,"-",20274388,"USD"
"GEV","GE VERNOVA INC","36828A101","BP6H4Y1",0.004621984677826413,"-",3221287,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004495241661318618,"-",29691243,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.004468938960031196,"-",3584120,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.0041782391051561,"-",18603975,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.0041136024669733585,"-",10844224,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004031554040599969,"-",36959094,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.0038261929500159665,"-",5580659,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.003767786951719942,"-",16042643,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.0036904690111674468,"-",14376482,"USD"
"KLAC","KLA CORP","482480100","2480138",0.0036494648000349635,"-",1566161,"USD"
"C","CITIGROUP INC","172967424","2297907",0.0035752471778851685,"-",20881593,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.0035014295968195937,"-",11171122,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.003470176387114957,"-",16331744,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.003292868177561836,"-",8510432,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.0032726360997274422,"-",50393624,"USD"
"NEE","NEXTERA ENERGY INC","65339F101","2328915",0.003256804473819462,"-",24886126,"USD"
"ADI","ANALOG DEVICES INC","032654105","2032067",0.0031339218537743832,"-",5837910,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.003045842808056388,"-",12747458,"USD"
"T","AT+T INC","00206R102","2831811",0.0029495029139492627,"-",83654573,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.0029453224846191705,"-",21167592,"USD"
"BA","BOEING CO/THE","097023105","2108601",0.0028840861956522935,"-",9396591,"USD"
"ANET","ARISTA NETWORKS INC","040413205","BL9XPM3",0.0028759353585613243,"-",12336728,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.002864654199986339,"-",6434412,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.0028433920163600805,"-",4489352,"USD"
"SNDK","SANDISK CORP","80004C200","BSNPZV3",0.0028336810190406556,"-",1768539,"USD"
"APH","AMPHENOL CORP CL A","032095101","2145084",0.0028230599282546317,"-",14696985,"USD"
"TJX","TJX COMPANIES INC","872540109","2989301",0.0028089884831172165,"-",13268869,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.002778185319632326,"-",11196515,"USD"
"AXP","AMERICAN EXPRESS CO","025816109","2026082",0.00276130358587827,"-",6399002,"USD"
"ETN","EATON CORP PLC","G29183103","B8KQN82",0.002670874298790486,"-",4649611,"USD"
"GILD","GILEAD SCIENCES INC","375558103","2369174",0.002634490562180736,"-",14824803,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.002622799361494426,"-",4244452,"USD"
