"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07944806141288505,"-",296758122,"USD"
"AAPL","APPLE INC","037833100","2046251",0.07403810909514642,"-",179954353,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.04485122563784028,"-",91014237,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03707378130089947,"-",119934682,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.03102670202647117,"-",71841147,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.02906421092811106,"-",58016840,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.024995495555714738,"-",57906588,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02130297859994888,"-",26905010,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.0167394128599041,"-",13819181,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.016289746607799284,"-",34499220,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014435003013937138,"-",32836268,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014233295694868645,"-",9693936,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.013933697772639596,"-",19982313,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.01388063212667435,"-",22466327,"USD"
"XOM","EXXONMOBIL HOLDINGS CORP","30233Q108","BVSRPD7",0.009900768539005693,"-",50776067,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009520739099993075,"-",29501026,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009071581655548387,"-",20331517,"USD"
"INTC","INTEL CORP","458140100","2463247",0.007501351333285579,"-",57900901,"USD"
"WMT","WALMART INC","931142103","2936921",0.007412319969383746,"-",53702298,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006924662745322611,"-",21654166,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.006853679088424186,"-",48380480,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.006801820613574151,"-",9726497,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.006637844874321515,"-",9883486,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.006361462548663462,"-",5433878,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.006338097302780664,"-",5645259,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.006220602639773954,"-",79962998,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.006178361627362438,"-",15327307,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.006056367508380861,"-",11122451,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005585939908418612,"-",22927763,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.005504301220519834,"-",12778630,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.005369357447756926,"-",28519090,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.005104398352899814,"-",12198443,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.00500920143735171,"-",3612977,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.0049212774783572175,"-",47422420,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004869478863231902,"-",30258879,"USD"
