"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"MSFT","MICROSOFT CORP","594918104","2588173",0.0668332574970108,"-",89525497,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06371290251327916,"-",180907054,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.05791581261550427,"-",294926989,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03700951691880625,"-",113586944,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.027003187317443604,"-",26372358,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.020435595733252886,"-",22073812,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.01976140800303518,"-",70245332,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.01971485011358511,"-",56448605,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.016599895167534177,"-",33699910,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.016189671640845286,"-",56931192,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014582632382870244,"-",33672873,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.013403471387322485,"-",9488841,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.01237249260658125,"-",20753923,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.01021459968932846,"-",5149940,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.009548980284581985,"-",52422086,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.00940920698454025,"-",9807569,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.009244246792880757,"-",5345703,"USD"
"WMT","WALMART INC","931142103","2936921",0.008847752513284143,"-",52241845,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.00777406162638574,"-",28238500,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.007763331293208396,"-",28994269,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.0076014796103245135,"-",11082753,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.0074810846742845724,"-",11966462,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.00723656857694162,"-",21259862,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005729708984795905,"-",46627206,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005616696757098035,"-",79740498,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.005487623900726186,"-",18726931,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.005437210264814062,"-",11524964,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.005260931912997223,"-",24682200,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.0050503005539422425,"-",19536217,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.005013127969833915,"-",39607315,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.0048804484462288255,"-",47963216,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.004781753292603234,"-",20130746,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.004758738371860742,"-",20890630,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.004690102099568525,"-",11136919,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.0046180285339186625,"-",8631379,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.004604219581473168,"-",12925348,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.004474877719534198,"-",5735097,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004346701548386082,"-",30469395,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.004160758922491226,"-",2482224,"USD"
"T","AT+T INC","00206R102","2831811",0.004093856241631561,"-",86454727,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.003941140784860606,"-",7526190,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.0038967349399474964,"-",4291644,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.003805023967897872,"-",50722647,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.003790637151641527,"-",16524995,"USD"
"INTU","INTUIT INC","461202103","2459020",0.0036527867432462413,"-",3371707,"USD"
