"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07815939462715882,"-",289213915,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06586112360034213,"-",174731313,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.049772161488710824,"-",88377097,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.04306610117153232,"-",116263007,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.03615735727009194,"-",69289784,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.03199993351226348,"-",56427238,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.028776878477579648,"-",55670678,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02163920793823569,"-",26036007,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.01789288201575135,"-",33479922,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.013925740399152845,"-",21829549,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.01344517448050255,"-",32096984,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.012432726672075562,"-",9433596,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.010513533354741157,"-",13394972,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.010410791399687268,"-",49749995,"USD"
"WMT","WALMART INC","931142103","2936921",0.009261057616664275,"-",52188021,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.00902803050162917,"-",19413613,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.008907076427413093,"-",20014338,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.008758189102884012,"-",28690179,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.007288618103602535,"-",5285429,"USD"
"INTC","INTEL CORP","458140100","2463247",0.007287357956971874,"-",55879151,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.0066638954108700086,"-",9696505,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.006598997859390919,"-",5540308,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.006229984921045413,"-",50269515,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.005964173991285625,"-",21043015,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.005932730332501489,"-",47038979,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005843079900777254,"-",22318365,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005614393290803318,"-",79007807,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.0054397929743104905,"-",10775969,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.005403818788354213,"-",27177768,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.005399308263509542,"-",27649250,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.00523029859754481,"-",14856043,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.00503815623986007,"-",11843712,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.005032045528817732,"-",9442804,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.004953976444699105,"-",20180718,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.004903370556197919,"-",46057270,"USD"
